name,mob_id,source_url,image_url,face_shape,eye_style,expression,body_type,color_tone,human_like,animal_like,blob_like,ghost_like,object_like,plant_like,cute_level,dark_level,power_level,energy,shape_tag,eye_tag,expression_tag,species_tag,mood_tag,color_tag,size_tag,feature_tag,match_tags,match_note
씨클,2230105,https://mapledb.kr/search.php?q=2230105&t=mob,https://maplestory.io/api/KMS/389/mob/2230105/render/stand,none,simple,mysterious,fish,green,0,0,0,0,0,0,4,2,3,6,no-face,simple-eye,mysterious,fish,calm,green,small,npc-like,"no-face,simple-eye,mysterious,fish,calm,green,small,npc-like","신비로운 분위기를 가진 작은 물고기 형태로, 차분한 인상의 사람과 매칭하기 좋음"
씨코,2230106,https://mapledb.kr/search.php?q=2230106&t=mob,https://maplestory.io/api/KMS/389/mob/2230106/render/stand,none,big,playful,fish,bright,0,0,0,0,0,0,7,0,2,6,no-face,big-eye,playful,fish,cute,yellow,small,pet-like,"no-face,big-eye,playful,fish,cute,yellow,small,pet-like","귀엽고 장난기 있는 외형으로, 밝고 경쾌한 인상의 사람과 매칭하기 좋음"
크라피,2230107,https://mapledb.kr/search.php?q=2230107&t=mob,https://maplestory.io/api/KMS/389/mob/2230107/render/stand,none,big,happy,fish,bright,0,0,0,0,0,0,7,0,2,6,no-face,big-eye,happy,fish,cute,orange,small,pet-like,"no-face,big-eye,happy,fish,cute,orange,small,pet-like","귀엽고 밝은 색상의 물고기라, 즐거운 인상의 사람과 매칭하기 좋음"
핀붐,2230108,https://mapledb.kr/search.php?q=2230108&t=mob,https://maplestory.io/api/KMS/389/mob/2230108/render/stand,round,simple,playful,blob,dark,0,0,10,0,0,0,7,3,2,4,round,simple-eye,playful,blob,cute,black,small,jelly,"round,simple-eye,playful,blob,cute,black,small,jelly",둥글고 말랑한 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
버블피쉬,2230109,https://mapledb.kr/search.php?q=2230109&t=mob,https://maplestory.io/api/KMS/389/mob/2230109/render/stand,round,big,happy,blob,cool,0,0,10,0,0,0,9,1,2,6,round,big-eye,happy,blob,cute,blue,small,jelly,"round,big-eye,happy,blob,cute,blue,small,jelly","둥글고 귀여운 외형으로, 밝고 긍정적인 인상의 사람과 잘 어울림"
우드 마스크,2230110,https://mapledb.kr/search.php?q=2230110&t=mob,https://maplestory.io/api/KMS/389/mob/2230110/render/stand,round,big,playful,plant,mixed,0,0,0,0,0,10,7,2,4,6,round,big-eye,playful,plant,cute,brown,medium,wood,"round,big-eye,playful,plant,cute,brown,medium,wood",둥글고 나무 같은 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
스톤 마스크,2230111,https://mapledb.kr/search.php?q=2230111&t=mob,https://maplestory.io/api/KMS/389/mob/2230111/render/stand,square,big,scary,object,neutral,0,0,0,0,10,0,2,6,7,4,square,big-eye,scary,object,dark,gray,medium,stone,"square,big-eye,scary,object,dark,gray,medium,stone",각진 형태와 무서운 표정으로 강렬한 인상의 사람과 매칭하기 좋음
플라워 피쉬,2230200,https://mapledb.kr/search.php?q=2230200&t=mob,https://maplestory.io/api/KMS/389/mob/2230200/render/stand,round,simple,blank,plant,green,0,0,0,0,0,10,5,1,2,4,round,simple-eye,blank,plant,calm,green,small,wood,"round,simple-eye,blank,plant,calm,green,small,wood",식물형 외형으로 차분하고 부드러운 인상의 사람과 매칭하기 좋음
스톤볼,3000000,https://mapledb.kr/search.php?q=3000000&t=mob,https://maplestory.io/api/KMS/389/mob/3000000/render/stand,round,simple,blank,object,neutral,0,0,0,0,10,0,2,1,4,3,round,simple-eye,blank,object,calm,gray,medium,stone,"round,simple-eye,blank,object,calm,gray,medium,stone",둥글고 단순한 외형으로 차분한 인상의 사람과 매칭하기 좋음
페어리,3000001,https://mapledb.kr/search.php?q=3000001&t=mob,https://maplestory.io/api/KMS/389/mob/3000001/render/stand,round,big,playful,mixed,bright,8,0,0,0,0,0,7,0,2,6,round,big-eye,playful,human,cute,yellow,small,npc-like,"round,big-eye,playful,human,cute,yellow,small,npc-like","귀엽고 장난기 있는 외형으로, 밝고 경쾌한 인상의 사람과 잘 어울림"
브라운테니,3000005,https://mapledb.kr/search.php?q=3000005&t=mob,https://maplestory.io/api/KMS/389/mob/3000005/render/stand,round,big,happy,blob,neutral,0,0,10,0,0,0,9,0,2,4,round,big-eye,happy,blob,cute,brown,small,jelly,"round,big-eye,happy,blob,cute,brown,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
크립,3000006,https://mapledb.kr/search.php?q=3000006&t=mob,https://maplestory.io/api/KMS/389/mob/3000006/render/stand,none,simple,angry,blob,red,0,0,10,0,0,0,2,4,6,7,no-face,simple-eye,angry,blob,wild,red,small,monster-like,"no-face,simple-eye,angry,blob,wild,red,small,monster-like",무표정하고 화난 인상으로 강렬한 느낌을 주는 사람과 매칭하기 좋음
모래난쟁이,3100101,https://mapledb.kr/search.php?q=3100101&t=mob,https://maplestory.io/api/KMS/389/mob/3100101/render/stand,round,simple,playful,blob,neutral,0,0,10,0,0,0,7,1,2,6,round,simple-eye,playful,blob,cute,gray,small,jelly,"round,simple-eye,playful,blob,cute,gray,small,jelly","둥글고 귀여운 외형으로, 장난기 있는 인상의 사람과 잘 어울림"
키요,3100102,https://mapledb.kr/search.php?q=3100102&t=mob,https://maplestory.io/api/KMS/389/mob/3100102/render/stand,none,sharp,scary,animal,dark,0,10,0,0,0,0,1,8,6,4,no-face,sharp-eye,scary,animal,dark,brown,medium,monster-like,"no-face,sharp-eye,scary,animal,dark,brown,medium,monster-like",어두운 분위기와 날카로운 눈매로 무서운 인상의 사람과 매칭하기 좋음
리게이터,3110100,https://mapledb.kr/search.php?q=3110100&t=mob,https://maplestory.io/api/KMS/389/mob/3110100/render/stand,wide,simple,playful,animal,green,0,10,0,0,0,0,7,1,4,6,wide-face,simple-eye,playful,animal,cute,green,medium,pet-like,"wide-face,simple-eye,playful,animal,cute,green,medium,pet-like","귀엽고 장난기 있는 외형으로, 친근한 인상의 사람과 매칭하기 좋음"
핑크테니,3110101,https://mapledb.kr/search.php?q=3110101&t=mob,https://maplestory.io/api/KMS/389/mob/3110101/render/stand,round,big,happy,blob,bright,0,0,10,0,0,0,9,0,2,6,round,big-eye,happy,blob,cute,pink,small,jelly,"round,big-eye,happy,blob,cute,pink,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
라츠,3110102,https://mapledb.kr/search.php?q=3110102&t=mob,https://maplestory.io/api/KMS/389/mob/3110102/render/stand,round,simple,playful,blob,cool,0,0,10,0,0,0,9,1,2,6,round,simple-eye,playful,blob,cute,blue,small,jelly,"round,simple-eye,playful,blob,cute,blue,small,jelly",둥글고 말랑한 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
큐브슬라임,3110300,https://mapledb.kr/search.php?q=3110300&t=mob,https://maplestory.io/api/KMS/389/mob/3110300/render/stand,round,simple,blank,blob,neutral,0,0,10,0,0,0,7,1,2,4,round,simple-eye,blank,blob,soft,pink,small,jelly,"round,simple-eye,blank,blob,soft,pink,small,jelly",둥글고 부드러운 외형으로 귀엽고 단순한 인상의 사람과 잘 어울림
붉은 모래난쟁이,3110301,https://mapledb.kr/search.php?q=3110301&t=mob,https://maplestory.io/api/KMS/389/mob/3110301/render/stand,round,simple,gentle,plant,red,0,0,0,0,0,10,7,2,4,6,round,simple-eye,gentle,plant,soft,red,medium,wood,"round,simple-eye,gentle,plant,soft,red,medium,wood",부드럽고 둥근 외형으로 온화한 인상의 사람과 매칭하기 좋음
루모,3110302,https://mapledb.kr/search.php?q=3110302&t=mob,https://maplestory.io/api/KMS/389/mob/3110302/render/stand,none,none,none,object,neutral,0,0,0,0,10,0,2,0,1,3,no-face,no-eye,blank,object,calm,black,small,wood,"no-face,no-eye,blank,object,calm,black,small,wood","특징이 없는 물체 형태로, 단순하고 차분한 인상의 사람과 매칭하기 좋음"
트리플 루모,3110303,https://mapledb.kr/search.php?q=3110303&t=mob,https://maplestory.io/api/KMS/389/mob/3110303/render/stand,square,big,playful,plant,green,0,0,0,0,0,10,7,1,4,6,square,big-eye,playful,plant,bright,green,medium,wood,"square,big-eye,playful,plant,bright,green,medium,wood",식물형 외형으로 밝고 장난기 있는 인상의 사람과 매칭하기 좋음
파이어보어,3210100,https://mapledb.kr/search.php?q=3210100&t=mob,https://maplestory.io/api/KMS/389/mob/3210100/render/stand,round,small,angry,animal,dark,0,10,0,0,0,0,2,6,7,5,round,small-eye,angry,animal,wild,brown,medium,fire,"round,small-eye,angry,animal,wild,brown,medium,fire",둥글고 화염이 있는 외형으로 강렬한 인상의 사람과 매칭하기 좋음
주니어 샐리온,3210200,https://mapledb.kr/search.php?q=3210200&t=mob,https://maplestory.io/api/KMS/389/mob/3210200/render/stand,round,big,playful,animal,neutral,0,10,0,0,0,0,9,0,2,6,round,big-eye,playful,animal,cute,gray,small,pet-like,"round,big-eye,playful,animal,cute,gray,small,pet-like","귀엽고 둥글며 장난기 있는 외형으로, 사랑스러운 인상의 사람과 잘 어울림"
주니어 라이오너,3210201,https://mapledb.kr/search.php?q=3210201&t=mob,https://maplestory.io/api/KMS/389/mob/3210201/render/stand,round,big,playful,animal,neutral,0,10,0,0,0,0,9,0,2,6,round,big-eye,playful,animal,cute,gray,small,pet-like,"round,big-eye,playful,animal,cute,gray,small,pet-like","귀엽고 장난기 있는 외형으로, 친근한 인상의 사람과 매칭하기 좋음"
주니어 그류핀,3210202,https://mapledb.kr/search.php?q=3210202&t=mob,https://maplestory.io/api/KMS/389/mob/3210202/render/stand,round,big,happy,animal,bright,0,10,0,0,0,0,9,0,2,6,round,big-eye,happy,animal,cute,white,small,pet-like,"round,big-eye,happy,animal,cute,white,small,pet-like","귀엽고 둥글며 큰 눈을 가진 외형으로, 사랑스러운 인상의 사람과 잘 어울림"
팬더테니,3210203,https://mapledb.kr/search.php?q=3210203&t=mob,https://maplestory.io/api/KMS/389/mob/3210203/render/stand,round,big,happy,blob,neutral,0,0,10,0,0,0,9,1,2,6,round,big-eye,happy,blob,cute,gray,small,jelly,"round,big-eye,happy,blob,cute,gray,small,jelly","둥글고 귀여운 외형으로, 밝고 긍정적인 인상의 사람과 잘 어울림"
더키 패밀리,3210204,https://mapledb.kr/search.php?q=3210204&t=mob,https://maplestory.io/api/KMS/389/mob/3210204/render/stand,round,big,happy,blob,yellow,0,0,10,0,0,0,9,0,2,6,round,big-eye,happy,blob,cute,yellow,small,jelly,"round,big-eye,happy,blob,cute,yellow,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
블랙 라츠,3210205,https://mapledb.kr/search.php?q=3210205&t=mob,https://maplestory.io/api/KMS/389/mob/3210205/render/stand,round,simple,playful,blob,dark,0,0,10,0,0,0,6,4,2,5,round,simple-eye,playful,blob,dark,black,small,render-risk,"round,simple-eye,playful,blob,dark,black,small,render-risk",둥글고 장난기 있는 외형이라 귀엽고 신비로운 인상의 사람과 매칭하기 좋음
치크세이버,3210206,https://mapledb.kr/search.php?q=3210206&t=mob,https://maplestory.io/api/KMS/389/mob/3210206/render/stand,round,angry,scary,object,yellow,0,0,0,0,10,0,2,5,6,7,round,angry-eye,scary,object,dark,yellow,medium,monster-like,"round,angry-eye,scary,object,dark,yellow,medium,monster-like",둥글고 위협적인 외형으로 강렬한 인상의 사람과 매칭하기 좋음
티키,3210207,https://mapledb.kr/search.php?q=3210207&t=mob,https://maplestory.io/api/KMS/389/mob/3210207/render/stand,round,big,happy,blob,mixed,0,0,10,0,0,0,9,0,2,4,round,big-eye,happy,blob,cute,white,small,jelly,"round,big-eye,happy,blob,cute,white,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
레츠,3210208,https://mapledb.kr/search.php?q=3210208&t=mob,https://maplestory.io/api/KMS/389/mob/3210208/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
스쿠버 페페,3210450,https://mapledb.kr/search.php?q=3210450&t=mob,https://maplestory.io/api/KMS/389/mob/3210450/render/stand,round,big,happy,blob,blue,0,0,10,0,0,0,9,0,2,6,round,big-eye,happy,blob,cute,blue,small,jelly,"round,big-eye,happy,blob,cute,blue,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
루팡,3210800,https://mapledb.kr/search.php?q=3210800&t=mob,https://maplestory.io/api/KMS/389/mob/3210800/render/stand,round,simple,playful,animal,neutral,0,10,0,0,0,0,9,0,2,7,round,big-eye,playful,animal,cute,gray,small,pet-like,"round,big-eye,playful,animal,cute,gray,small,pet-like","귀엽고 장난기 가득한 외형으로, 친근한 인상의 사람과 잘 어울림"
스텀피,3220000,https://mapledb.kr/search.php?q=3220000&t=mob,https://maplestory.io/api/KMS/389/mob/3220000/render/stand,square,simple,scary,plant,dark,0,0,0,0,0,10,1,8,6,4,square,simple-eye,scary,plant,dark,brown,medium,wood,"square,simple-eye,scary,plant,dark,brown,medium,wood",어두운 분위기와 무서운 표정으로 인해 신비롭고 강렬한 인상의 사람과 매칭하기 좋음
데우,3220001,https://mapledb.kr/search.php?q=3220001&t=mob,https://maplestory.io/api/KMS/389/mob/3220001/render/stand,round,simple,gentle,blob,green,0,0,10,0,0,0,7,1,4,5,round,simple-eye,gentle,blob,cute,green,medium,jelly,"round,simple-eye,gentle,blob,cute,green,medium,jelly","둥글고 부드러운 외형으로, 온화한 인상의 사람과 잘 어울림"
