name,mob_id,source_url,face_shape,vibe,cute_level,dark_level,power_level,description,image_url,human_match_score,face_visibility,object_like,animal_like,plant_like,eye_style,mouth_style,body_type,color_tone,match_tags,match_note
주황버섯,1210102,https://mapledb.kr/search.php?q=1210102&t=mob,round,cute,8,1,2,둥글고 부드러운 외형으로 귀여운 인상,https://maplestory.io/api/KMS/389/mob/1210102/render/stand,5,7,4,1,2,big,smile,blob,bright,"귀여운,둥글다,부드러운,밝은 색,버섯","주황버섯은 귀여운 외형으로 사람 얼굴과의 닮은꼴 매칭이 가능하지만, 주로 몬스터 특성을 지닌다."
버블링,1210103,https://mapledb.kr/search.php?q=1210103&t=mob,round,cute,8,1,2,"둥글고 부드러운 외형, 귀엽고 순한 인상",https://maplestory.io/api/KMS/389/mob/1210103/render/stand,6,4,7,2,1,none,smile,blob,bright,"귀여운,부드러운,둥글다,물방울,순한",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
흰 모래토끼,2100100,https://mapledb.kr/search.php?q=2100100&t=mob,round,cute,9,1,2,동글동글하고 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2100100/render/stand,6,5,3,7,1,none,neutral,blob,bright,"귀여운,동글동글,부드러운,작은,동물",부드럽고 귀여운 인상으로 사람 얼굴과의 매칭 가능성이 있음.
갈색 모래토끼,2100101,https://mapledb.kr/search.php?q=2100101&t=mob,round,cute,8,1,2,"둥글고 순한 인상으로, 부드러운 외형을 가지고 있음",https://maplestory.io/api/KMS/389/mob/2100101/render/stand,5,4,3,7,1,none,neutral,animal,warm,"귀여운,동물,부드러운,둥글다,순한",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
주니어 카투스,2100102,https://mapledb.kr/search.php?q=2100102&t=mob,round,cute,8,1,2,부드러운 둥글 형태로 귀엽고 순한 인상,https://maplestory.io/api/KMS/389/mob/2100102/render/stand,5,7,6,2,4,big,smile,blob,bright,"귀엽다,둥글다,식물형,부드럽다,순하다",부드럽고 귀여운 인상으로 사람 얼굴과의 매칭 가능성이 있음.
카투스,2100103,https://mapledb.kr/search.php?q=2100103&t=mob,round,cute,8,1,3,둥글고 부드러운 외형으로 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2100103/render/stand,5,7,4,2,6,big,smile,blob,bright,"귀여운,둥글다,식물형,부드러운,밝은 색상",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
로얄 카투스,2100104,https://mapledb.kr/search.php?q=2100104&t=mob,round,cute,8,1,3,동글동글하고 표정이 부드러운 인상,https://maplestory.io/api/KMS/389/mob/2100104/render/stand,6,7,4,2,5,big,open,plant,bright,"귀여운,식물,동글동글,부드러운,로얄 카투스",부드러운 표정과 동글동글한 형태로 사람 얼굴 닮은꼴 매칭에 적합.
벨라모아,2100105,https://mapledb.kr/search.php?q=2100105&t=mob,round,cute,8,1,2,둥글고 말랑한 외형으로 귀엽고 순한 인상,https://maplestory.io/api/KMS/389/mob/2100105/render/stand,5,6,3,2,1,big,smile,blob,bright,"귀여운,둥글다,부드럽다,순하다,작다",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
귀마개 프릴드,2100106,https://mapledb.kr/search.php?q=2100106&t=mob,round,playful,8,2,3,부드러운 세로형 외형에 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2100106/render/stand,6,8,2,4,1,big,smile,humanoid,neutral,"귀여운,유머러스한,동물형,플레이풀,부드러운",부드러운 외형과 귀여운 인상으로 사람 얼굴 닮은꼴 매칭에 적합함.
목도리 프릴드,2100107,https://mapledb.kr/search.php?q=2100107&t=mob,round,cute,8,1,3,부드러운 타원형의 외형과 귀여운 인상을 가진 몬스터,https://maplestory.io/api/KMS/389/mob/2100107/render/stand,6,8,2,3,1,big,smile,blob,bright,"귀여운,몬스터,타원형,부드러운,프릴드","부드러운 외형과 큰 눈으로 귀여운 인상을 주며, 사람 얼굴과의 매칭 가능성이 높음."
미요캐츠,2100108,https://mapledb.kr/search.php?q=2100108&t=mob,small,cute,8,1,2,부드러운 세로형 외형에 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2100108/render/stand,6,8,2,7,1,big,smile,animal,neutral,"귀여운,동물,작은,활발,친근한","부드러운 외형과 귀여운 인상으로 사람 얼굴과의 매칭이 가능하지만, 동물적인 특징이 강함."
뿔버섯,2110200,https://mapledb.kr/search.php?q=2110200&t=mob,round,cute,8,1,2,동글동글하고 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2110200/render/stand,4,6,5,2,3,big,smile,blob,bright,"귀여운,동글동글,식물형,부드러운,작은","부드럽고 귀여운 인상으로 사람 얼굴과의 매칭이 가능하지만, 식물적인 요소가 강함."
모래 두더지,2110300,https://mapledb.kr/search.php?q=2110300&t=mob,round,cute,8,1,2,둥글고 부드러운 외형으로 차분한 인상,https://maplestory.io/api/KMS/389/mob/2110300/render/stand,5,4,3,2,1,big,smile,blob,bright,"귀여운,둥글다,부드러운,차분한,모래",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
스콜피언,2110301,https://mapledb.kr/search.php?q=2110301&t=mob,round,mysterious,6,5,4,둥글고 기괴한 인상으로 음산한 분위기,https://maplestory.io/api/KMS/389/mob/2110301/render/stand,5,7,3,2,1,big,smile,insect,neutral,"스콜피언,몬스터,귀여운,신비로운,곤충",둥글고 기괴한 인상으로 사람 얼굴 닮은꼴 매칭에 적합한 요소가 있음.
다크 엑스텀프,2130100,https://mapledb.kr/search.php?q=2130100&t=mob,round,dark,3,8,6,각지고 단단하며 차분한 인상,https://maplestory.io/api/KMS/389/mob/2130100/render/stand,2,3,7,1,5,none,none,plant,dark,"다크,식물,강력함,신비로움,무서움","사람의 얼굴과 닮은꼴 요소가 적고, 식물 형태로 인식됨."
주니어 네키,2130103,https://mapledb.kr/search.php?q=2130103&t=mob,round,cute,8,1,2,부드럽고 둥글며 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2130103/render/stand,4,7,3,5,2,big,smile,animal,bright,"귀여운,동물,부드러운,초록색,작은","부드럽고 귀여운 인상으로 사람 얼굴과의 닮은꼴 매칭이 가능하지만, 동물적인 특징이 강함."
마노,2220000,https://mapledb.kr/search.php?q=2220000&t=mob,round,calm,7,2,3,둥글고 부드러운 외형에 차분한 인상,https://maplestory.io/api/KMS/389/mob/2220000/render/stand,4,6,5,2,3,none,neutral,blob,neutral,"부드러운,차분한,귀여운,둥글고,식물형","부드러운 외형과 차분한 인상으로 사람 얼굴 닮은꼴 매칭에 적합하지만, 얼굴이 잘 보이지 않아 점수가 낮음."
파란버섯,2220100,https://mapledb.kr/search.php?q=2220100&t=mob,round,cute,8,1,2,둥글고 부드러운 외형과 순한 인상,https://maplestory.io/api/KMS/389/mob/2220100/render/stand,5,6,7,2,3,none,neutral,blob,bright,"귀여운,둥글다,부드러운,순한,파란색",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
이블아이,2230100,https://mapledb.kr/search.php?q=2230100&t=mob,round,mysterious,4,6,5,둥글고 기괴한 형태로 어둡고 음산한 인상,https://maplestory.io/api/KMS/389/mob/2230100/render/stand,3,6,7,2,1,big,smile,blob,bright,"기괴한,둥글다,어두운,유머러스,괴물","사람 얼굴과의 유사성은 낮지만, 기괴한 형태로 인해 독특한 매칭 가능성 존재."
좀비버섯,2230101,https://mapledb.kr/search.php?q=2230101&t=mob,round,mysterious,7,4,2,둥글고 약간 음산한 인상,https://maplestory.io/api/KMS/389/mob/2230101/render/stand,3,5,7,1,2,big,neutral,blob,neutral,"좀비,버섯,귀여운,신비로운,게임","둥글고 귀여운 외형이 사람 얼굴과의 매칭 가능성이 낮지만, 신비로운 느낌이 있다."
와일드보어,2230102,https://mapledb.kr/search.php?q=2230102&t=mob,round,strong,4,2,7,둥글고 강한 인상으로 전투적인 분위기,https://maplestory.io/api/KMS/389/mob/2230102/render/stand,3,5,2,8,1,small,neutral,animal,neutral,"동물,강한 인상,전투적,둥글다,귀여움","와일드보어는 둥글고 강한 인상으로, 사람 얼굴과의 닮은꼴 매칭이 낮은 편이다."
트릭스터,2230103,https://mapledb.kr/search.php?q=2230103&t=mob,round,playful,8,2,3,"둥글고 귀여운 외형, 순한 인상",https://maplestory.io/api/KMS/389/mob/2230103/render/stand,6,7,2,1,1,big,smile,blob,bright,"귀여운,장난스러운,둥글다,순한,몬스터",트릭스터는 귀여운 외형과 큰 눈으로 사람 얼굴과의 닮은꼴 매칭이 가능하다.
그린 트릭스터,2230104,https://mapledb.kr/search.php?q=2230104&t=mob,round,mysterious,5,7,3,둥글고 기묘한 외형으로 다소 음산한 분위기,https://maplestory.io/api/KMS/389/mob/2230104/render/stand,3,4,6,2,1,big,none,blob,green,"그린,트릭스터,음산한,둥글고 기묘한,몬스터","사람 얼굴과의 유사성이 낮고, 몬스터 특성이 두드러짐."
씨클,2230105,https://mapledb.kr/search.php?q=2230105&t=mob,round,cute,8,1,3,부드러운 타원형 외형과 순한 인상,https://maplestory.io/api/KMS/389/mob/2230105/render/stand,5,6,4,7,1,big,smile,animal,bright,"귀여운,바다,해양 생물,색색이,친근한",부드러운 외형과 귀여운 인상으로 사람 얼굴과의 매칭 가능성이 있음.
씨코,2230106,https://mapledb.kr/search.php?q=2230106&t=mob,round,cute,8,1,3,부드러운 타원형 외형과 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2230106/render/stand,4,6,7,5,1,big,smile,animal,bright,"귀여운,바다,해양 생물,노란색,작은","부드러운 외형과 귀여운 인상으로 사람 얼굴과의 매칭이 가능하지만, 동물적인 특징이 더 강함."
크라피,2230107,https://mapledb.kr/search.php?q=2230107&t=mob,round,cute,8,1,2,둥글고 말랑한 외형으로 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2230107/render/stand,4,7,3,5,1,big,smile,fish,bright,"귀여운,물고기,둥글다,밝은색,친근한","귀여운 외형과 둥근 형태로 사람 얼굴과의 매칭 가능성이 낮지만, 친근한 인상으로 사람과의 유사성을 느낄 수 있음."
핀붐,2230108,https://mapledb.kr/search.php?q=2230108&t=mob,round,dark,4,8,3,"둥글고 어두운 외형, 무표정한 눈",https://maplestory.io/api/KMS/389/mob/2230108/render/stand,3,2,7,1,1,big,none,blob,dark,"둥글다,어두운,무표정,귀여운,단순한","사람 얼굴과의 유사성이 낮고, 주로 물체처럼 보임."
버블피쉬,2230109,https://mapledb.kr/search.php?q=2230109&t=mob,round,cute,8,1,2,부드러운 타원형 외형과 귀여운 인상,https://maplestory.io/api/KMS/389/mob/2230109/render/stand,4,5,7,3,1,big,smile,fish,bright,"귀여운,물고기,부드러운,타원형,밝은 색상","부드러운 외형과 귀여운 인상으로 사람 얼굴과의 매칭이 가능하지만, 물고기 형태로 인해 제한적이다."
우드 마스크,2230110,https://mapledb.kr/search.php?q=2230110&t=mob,square,playful,6,2,5,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/2230110/render/stand,4,7,8,2,1,big,angry,object,neutral,"우드,장난감,귀여운,몬스터,플레이풀","사람의 얼굴과는 다소 거리가 있지만, 장난감 같은 외형으로 귀여운 느낌을 줌."
스톤 마스크,2230111,https://mapledb.kr/search.php?q=2230111&t=mob,square,playful,6,2,5,각지고 단단하며 다소 부자연스러운 인상,https://maplestory.io/api/KMS/389/mob/2230111/render/stand,4,7,8,2,1,big,neutral,object,neutral,"스톤,귀여운,장난스러운,몬스터,각진","각지고 단단한 외형이 사람 얼굴과의 매칭에서 낮은 점수를 주지만, 눈과 입이 잘 보이므로 어느 정도의 유사성을 가진다."
플라워 피쉬,2230200,https://mapledb.kr/search.php?q=2230200&t=mob,round,calm,5,2,3,둥글고 부드럽지만 무표정한 인상,https://maplestory.io/api/KMS/389/mob/2230200/render/stand,4,6,7,3,5,none,neutral,blob,green,"플라워,피쉬,둥글다,무표정,귀여움","부드러운 형태와 무표정한 인상으로 사람 얼굴과의 매칭이 가능하지만, 식물적인 요소가 강함."
스톤볼,3000000,https://mapledb.kr/search.php?q=3000000&t=mob,round,calm,3,2,5,둥글고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/3000000/render/stand,2,1,8,1,1,none,none,object,neutral,"둥글다,무표정,단단하다,안정감,사물","사람의 얼굴과 닮은꼴 요소가 적고, 주로 사물로 인식됨."
페어리,3000001,https://mapledb.kr/search.php?q=3000001&t=mob,small,cute,8,1,3,부드러운 타원형 외형과 귀여운 인상,https://maplestory.io/api/KMS/389/mob/3000001/render/stand,7,8,2,1,1,big,smile,humanoid,bright,"페어리,귀여운,작은,날개,환상적인",페어리는 귀여운 외모와 큰 눈을 가지고 있어 사람 얼굴과의 닮은꼴 매칭에 적합하다.
브라운테니,3000005,https://mapledb.kr/search.php?q=3000005&t=mob,round,cute,9,2,3,동글동글하고 귀여운 인상,https://maplestory.io/api/KMS/389/mob/3000005/render/stand,7,6,2,3,1,big,smile,animal,warm,"귀여운,동글동글,곰,애니멀,인형","브라운테니는 귀여운 동물 형태로, 사람 얼굴과의 매칭이 가능하다."
크립,3000006,https://mapledb.kr/search.php?q=3000006&t=mob,small,playful,7,2,3,부드럽고 귀여운 외형으로 순한 인상,https://maplestory.io/api/KMS/389/mob/3000006/render/stand,4,5,8,2,1,none,neutral,animal,bright,"귀여운,해양,색상,동물,유머러스","부드럽고 귀여운 외형으로 사람 얼굴 닮은꼴 매칭이 다소 낮지만, 유머러스한 느낌이 있다."
모래난쟁이,3100101,https://mapledb.kr/search.php?q=3100101&t=mob,round,calm,7,2,3,둥글고 부드러운 외형에 차분한 인상,https://maplestory.io/api/KMS/389/mob/3100101/render/stand,5,6,4,2,1,small,neutral,blob,neutral,"귀여운,부드러운,차분한,둥글다,모래",부드러운 외형과 차분한 인상으로 사람 얼굴과의 매칭 가능성이 있음.
키요,3100102,https://mapledb.kr/search.php?q=3100102&t=mob,round,mysterious,4,6,5,부드러운 타원형 외형에 음산한 인상,https://maplestory.io/api/KMS/389/mob/3100102/render/stand,3,6,2,8,1,none,neutral,animal,dark,"키요,음산한,타원형,동물,신비로운",부드러운 외형과 음산한 인상으로 사람 얼굴과의 매칭이 낮음.
리게이터,3110100,https://mapledb.kr/search.php?q=3110100&t=mob,round,mysterious,5,6,4,부드러운 타원형 외형에 음산한 인상,https://maplestory.io/api/KMS/389/mob/3110100/render/stand,3,4,6,7,1,sharp,neutral,animal,dark,"악어,음산한,부드러운,신비로운,게임 캐릭터","리게이터는 부드러운 외형과 음산한 인상으로 사람 얼굴 닮은꼴 매칭에서 낮은 점수를 받지만, 동물적인 특징이 강하다."
핑크테니,3110101,https://mapledb.kr/search.php?q=3110101&t=mob,round,cute,9,1,2,둥글고 귀여운 외형으로 순한 인상,https://maplestory.io/api/KMS/389/mob/3110101/render/stand,6,7,3,2,1,big,smile,blob,bright,"귀여운,둥글고,핑크색,순한,애니멀",귀엽고 둥근 외형으로 사람 얼굴과의 매칭 가능성이 높음.
라츠,3110102,https://mapledb.kr/search.php?q=3110102&t=mob,round,cute,8,1,2,"둥글고 귀여운 외형, 순한 인상",https://maplestory.io/api/KMS/389/mob/3110102/render/stand,6,5,3,2,1,none,neutral,blob,bright,"귀여운,둥글다,순한,부드러운,단순한","라츠는 귀여운 외형으로 사람 얼굴과의 닮은꼴 매칭이 가능하지만, 얼굴 특징이 적어 제한적이다."
큐브슬라임,3110300,https://mapledb.kr/search.php?q=3110300&t=mob,square,playful,7,1,3,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/3110300/render/stand,3,4,7,1,1,big,neutral,blob,bright,"큐브,슬라임,귀여운,단단한,무표정","사람 얼굴과의 유사성이 낮고, 물체에 가까운 형태."
붉은 모래난쟁이,3110301,https://mapledb.kr/search.php?q=3110301&t=mob,round,calm,6,2,4,"둥글고 부드러운 외형, 다소 차분한 인상",https://maplestory.io/api/KMS/389/mob/3110301/render/stand,5,4,7,2,6,none,neutral,blob,warm,"귀여운,식물형,차분한,둥글고 부드러운,자연친화적","부드러운 외형과 차분한 인상으로 사람 얼굴 닮은꼴 매칭에 적합하지만, 얼굴이 잘 보이지 않아 점수가 낮음."
루모,3110302,https://mapledb.kr/search.php?q=3110302&t=mob,round,calm,7,2,3,"둥글고 부드러운 외형, 차분한 인상",https://maplestory.io/api/KMS/389/mob/3110302/render/stand,2,1,8,1,5,none,none,object,neutral,"식물,물체,부드러운,차분한,둥글다","사람 얼굴 닮은꼴 매칭 관점에서 낮은 점수, 얼굴이 보이지 않음."
트리플 루모,3110303,https://mapledb.kr/search.php?q=3110303&t=mob,none,mysterious,3,5,4,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/3110303/render/stand,2,1,8,1,6,none,none,object,neutral,"식물,물체,신비로운,강력한,귀여운",사람 얼굴 닮은꼴 매칭 관점에서 얼굴이 없어 낮은 점수를 받음.
파이어보어,3210100,https://mapledb.kr/search.php?q=3210100&t=mob,round,strong,3,2,7,"둥글고 강한 인상, 불꽃이 나는 외형",https://maplestory.io/api/KMS/389/mob/3210100/render/stand,4,5,6,7,1,none,neutral,blob,warm,"불꽃,강한 인상,둥글다,동물,파이어보어","강한 인상을 주는 둥글고 불꽃이 나는 외형으로, 사람 얼굴과의 매칭은 낮은 편."
주니어 샐리온,3210200,https://mapledb.kr/search.php?q=3210200&t=mob,round,cute,9,1,3,동글동글하고 귀여운 외형,https://maplestory.io/api/KMS/389/mob/3210200/render/stand,7,8,2,3,1,big,smile,animal,bright,"귀여운,동글동글,작은,애완동물,상상속의",주니어 샐리온은 귀여운 외형과 큰 눈으로 사람 얼굴과의 닮은꼴 매칭에 적합하다.
주니어 라이오너,3210201,https://mapledb.kr/search.php?q=3210201&t=mob,round,cute,8,1,3,둥글고 귀여운 외형으로 순한 인상,https://maplestory.io/api/KMS/389/mob/3210201/render/stand,7,8,2,5,1,big,smile,animal,bright,"귀여운,동물,순한,작은,둥글다",주니어 라이오너는 귀여운 외형과 큰 눈으로 사람 얼굴 닮은꼴 테스트에 잘 어울립니다.
주니어 그류핀,3210202,https://mapledb.kr/search.php?q=3210202&t=mob,round,cute,8,1,2,둥글고 말랑하며 밝은 인상,https://maplestory.io/api/KMS/389/mob/3210202/render/stand,7,8,2,5,1,big,smile,animal,bright,"귀여운,동물,밝은,둥글다,친근한",주니어 그류핀은 귀여운 외모로 사람 얼굴과 닮은꼴 매칭에 적합하다.
팬더테니,3210203,https://mapledb.kr/search.php?q=3210203&t=mob,round,cute,8,1,3,둥글고 귀여우며 순한 인상,https://maplestory.io/api/KMS/389/mob/3210203/render/stand,6,7,2,5,1,big,smile,animal,bright,"귀여운,팬더,동물,순한,애니메이션",팬더테니는 귀여운 외모와 둥근 얼굴형으로 사람 얼굴과의 닮은꼴 매칭에 적합하다.
더키 패밀리,3210204,https://mapledb.kr/search.php?q=3210204&t=mob,round,cute,8,1,2,"둥글고 귀여운 외형, 부드러운 인상",https://maplestory.io/api/KMS/389/mob/3210204/render/stand,6,7,3,2,1,big,smile,blob,bright,"귀여운,둥글다,부드러운,가족,애완동물",둥글고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 높음.
블랙 라츠,3210205,https://mapledb.kr/search.php?q=3210205&t=mob,round,mysterious,4,7,3,"둥글고 어두운 외형, 불길한 분위기",https://maplestory.io/api/KMS/389/mob/3210205/render/stand,2,3,7,2,1,none,none,blob,dark,"블랙,라츠,둥글다,어두운,신비로운","사람 얼굴과의 유사성이 낮고, 물체에 가까운 형태."
치크세이버,3210206,https://mapledb.kr/search.php?q=3210206&t=mob,round,playful,7,1,5,"둥글고 기괴한 외형, 음산한 느낌",https://maplestory.io/api/KMS/389/mob/3210206/render/stand,3,4,8,1,1,none,neutral,object,bright,"헬리콥터,귀여운,노란색,플레이풀,비행기",사람 얼굴과의 닮은꼴 매칭이 어려운 형태의 몬스터입니다.
티키,3210207,https://mapledb.kr/search.php?q=3210207&t=mob,round,cute,8,1,2,둥글고 부드러운 외형으로 귀여운 인상,https://maplestory.io/api/KMS/389/mob/3210207/render/stand,5,7,3,2,1,big,smile,blob,bright,"귀여운,둥글다,부드러운,밝은 색,단순한",부드럽고 귀여운 외형으로 사람 얼굴과의 매칭 가능성이 있음.
레츠,3210208,https://mapledb.kr/search.php?q=3210208&t=mob,round,cute,8,1,2,"둥글고 귀여운 외형, 순한 인상",https://maplestory.io/api/KMS/389/mob/3210208/render/stand,4,3,6,2,1,none,smile,blob,neutral,"귀여운,둥글다,순하다,기계적,애니멀","부드러운 형태와 귀여운 인상으로 사람 얼굴과의 매칭 가능성이 낮지만, 귀여운 특성으로 인해 일부 사람들과 닮을 수 있음."
스쿠버 페페,3210450,https://mapledb.kr/search.php?q=3210450&t=mob,round,cute,8,1,2,둥글고 귀여운 외형으로 순한 인상,https://maplestory.io/api/KMS/389/mob/3210450/render/stand,6,7,3,2,1,big,smile,animal,bright,"귀여운,동물,수중,스쿠버,펭귄","귀여운 외형과 둥근 얼굴로 사람 얼굴 닮은꼴 테스트에 적합하지만, 동물 특성이 강함."
루팡,3210800,https://mapledb.kr/search.php?q=3210800&t=mob,round,cute,8,1,3,"둥글고 귀여운 외형으로, 상반신에 바나나를 들고 있는 모습",https://maplestory.io/api/KMS/389/mob/3210800/render/stand,6,8,2,5,1,big,smile,animal,bright,"귀여운,원형 얼굴,바나나,동물,상반신","루팡은 귀여운 원형 얼굴과 큰 눈을 가진 동물 형태로, 사람 얼굴과의 매칭 가능성이 높음."
스텀피,3220000,https://mapledb.kr/search.php?q=3220000&t=mob,sharp,dark,2,8,7,각지고 단단하며 음산한 인상,https://maplestory.io/api/KMS/389/mob/3220000/render/stand,3,4,8,1,6,none,angry,plant,dark,"어둡고,신비로운,식물형,강력한,무서운","사람 얼굴과의 유사성은 낮지만, 식물 형태로 인해 식물과의 매칭이 가능함."
데우,3220001,https://mapledb.kr/search.php?q=3220001&t=mob,round,calm,5,2,3,둥글고 부드러운 외형에 차분한 인상,https://maplestory.io/api/KMS/389/mob/3220001/render/stand,4,6,7,2,5,none,neutral,blob,green,"부드러운,차분한,식물형,둥글고,귀여운","부드러운 외형과 차분한 인상으로 사람 얼굴 닮은꼴 매칭에 적합하지만, 눈과 입이 잘 보이지 않아 낮은 점수를 받음."
커즈아이,3230100,https://mapledb.kr/search.php?q=3230100&t=mob,round,dark,2,8,6,"둥글고 기괴한 외형, 무서운 표정",https://maplestory.io/api/KMS/389/mob/3230100/render/stand,3,6,7,2,5,big,open,blob,green,"괴물,기괴한,무서운,둥글고,하이브리드",기괴한 외형과 무서운 표정으로 사람 얼굴 닮은꼴 매칭이 낮음.
